,0,1
21,Kalmyk,"[('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('CNRM-CM6-1', 'ssp245'), ('NorESM2-MM', 'ssp245')]"
22,Kaluga,"[('AWI-CM-1-1-MR', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('MIROC6', 'ssp245'), ('BCC-CSM2-MR', 'ssp370')]"
23,Kamchatka,"[('AWI-CM-1-1-MR', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('IPSL-CM6A-LR', 'ssp245'), ('MRI-ESM2-0', 'ssp245')]"
24,Karachay-Cherkess,"[('AWI-CM-1-1-MR', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('EC-Earth3', 'ssp245')]"
25,Karelia,"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('CNRM-CM6-1', 'ssp245'), ('NorESM2-MM', 'ssp245'), ('GFDL-ESM4', 'ssp370')]"
26,Kemerovo,"[('CNRM-CM6-1', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('EC-Earth3', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('GFDL-ESM4', 'ssp370')]"
27,Khabarovsk,"[('AWI-CM-1-1-MR', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('MRI-ESM2-0', 'ssp585')]"
28,Khakass,"[('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('EC-Earth3', 'ssp245'), ('NorESM2-MM', 'ssp370')]"
29,Khanty-Mansiy,"[('AWI-CM-1-1-MR', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('CNRM-CM6-1', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('GFDL-ESM4', 'ssp370'), ('MPI-ESM1-2-HR', 'ssp585')]"
30,Kirov,"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MIROC6', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CanESM5', 'ssp245'), ('GFDL-ESM4', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245')]"
