,РФ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ACCESS-CM2,67.37068984332777,68.63608495903512,44.0928413278233,78.16527433416137,47.69723698875543,149.06327958811687,76.11549170467644,100.63131100648877,51.01287312888082,58.220054240555996,113.08084608397698,52.996666040858706,47.439442302271864,79.8531595092547,72.79740298878431,88.0154041090993
AWI-CM-1-1-MR,122.23339755876194,82.7923125938391,101.2396358791451,119.36265530264173,50.50627767183265,142.82970380185552,83.64834530675756,131.53609662414425,93.0579052885659,136.20810848884605,146.69390388709485,108.04431108924348,128.42847110038957,153.16383417018105,189.21229346875248,85.0191601899516
BCC-CSM2-MR,82.19995778749426,91.96895656095259,85.01044356013709,36.73677918406598,36.981239445490445,131.8419471769627,74.93755850022353,59.456659748544666,36.24563359863897,82.5788706366765,110.40911901723783,65.7058972100385,80.01306260007057,110.76561586761157,102.86288714144888,209.31817229903646
CanESM5,86.97280837168428,77.9231952542295,64.63939525287638,160.9033251089342,68.81542821238004,166.9449304375868,142.48940922080763,127.24059804801193,46.596724520012,80.35423812543826,106.12934306135998,66.51055057261671,67.34769877324007,113.50336323743385,109.2276172938506,107.91670275988189
CAMS-CSM1-0,112.20980472935891,176.04216905115106,202.1595410573845,152.29411303730305,151.57534785033292,176.40955021046318,164.0690046721611,135.7974041013532,113.64163969503115,195.60402423486582,115.96502426461161,87.68883563584642,57.62354214992581,91.94071289282276,109.60305754854996,70.07822287478837
CMCC-ESM2,67.51346486480517,67.80934926442738,46.15664614460076,30.724477642119513,19.759991918439447,123.3367139237445,60.414204654614906,39.56111923690994,70.37683926736955,140.53545423621657,98.94410060930737,56.881816730206396,41.280926937307015,76.18192021214021,78.51273625062848,119.93019649299099
CNRM-CM6-1,94.17283537280223,66.10987436216709,112.44330732824554,135.055355457812,117.2801034120879,134.8973146619687,96.88974757426796,62.60781583395243,48.64088460712713,119.6025833243465,105.665495306071,80.98652146332593,71.27698893345676,137.5360046558903,165.70541602770226,234.76312906405062
EC-Earth3,63.439666417682524,70.46256720993725,75.27341168518201,42.47281983387995,103.14874272477243,122.0973838703613,102.68200311547051,62.59535978148841,53.11689883796568,118.8080610805134,86.34659354232484,40.465267456978694,36.87806238683698,62.34901358505872,76.17812970716142,181.61074175280305
GFDL-ESM4,82.55227450101282,69.65548783332304,61.738109867445395,21.373220928041352,30.514260970565584,117.82880064103831,45.78398926554856,75.83619871818301,91.42337250349735,64.11389198007026,125.4222176114146,72.37907065683844,87.29647813553815,84.91425551049335,104.42601433288596,74.04473792273247
INM-CM4-8,94.73875837243747,73.28812054490658,36.86173845959076,36.799470558203744,89.8432662415957,120.70178654313548,42.5055450323802,71.75124830246206,52.64220035623258,83.39486070559407,140.13424398587952,84.8297577986521,99.1868600948249,99.36567930722038,184.09191803888362,396.7056775620897
IPSL-CM6A-LR,92.25548703409001,71.53626301297365,74.8424174967381,48.841294715178876,74.15517613169759,84.33410286030535,70.99928641982002,107.7926577686038,47.9936090830095,62.53853515022151,104.48627424962585,62.548034147957516,82.04702224949501,211.0914265805249,162.05706773803175,132.2333486409222
MIROC6,91.70244538873949,118.51212902568643,175.46290893567016,113.84699062016963,99.17885338242581,130.2908157399276,75.22428390192258,93.09110104849059,54.88803556087667,93.51478237659937,100.10827361101023,82.56559228728334,68.41491021089752,106.80454040272474,125.35673984755532,194.0755798892577
MPI-ESM1-2-HR,117.09709565646567,84.68382003927454,123.0172882788313,188.93125022948252,121.88798208841929,107.80437363552625,135.2681269408974,183.3661587498912,100.73223591865094,123.1246875898021,119.56250616385182,89.56608988623367,128.25491906573143,105.96555432518821,179.52923667786996,65.5136546737111
MRI-ESM2-0,115.75859972093222,108.68262784104478,156.695877181879,235.1642894240252,256.2242886893963,192.20494978274172,233.13954319942144,195.78391909496358,93.89136820400512,82.31205649015926,116.38247522604937,105.429548222801,83.36789847414104,110.21612838990765,109.76777139992461,56.24493848237113
NorESM2-MM,76.09958049985319,104.41405610523462,97.21322968895127,67.95986120355575,112.10846412610624,158.02908571305952,52.27284269219885,29.720190090927495,71.11578403531828,183.37828405387884,94.3152651200279,67.69052030212328,39.100101366754444,73.35394889790112,76.31061157280752,76.71894397439301
UKESM1-0-LL,62.490165701870886,58.0678853441123,40.00520215857336,58.49418828215185,123.19304847006555,124.29262709490347,44.341754928002125,43.507907350824254,59.55444348801377,82.72495293919194,120.5151170647702,44.382177908691105,42.49256642601991,74.52299632873228,67.7711232661257,60.58926100038091
mean,89.30043948883241,86.91155618764341,93.55324964394214,95.44533536635791,93.9293567702727,136.43171035510608,93.79882107057317,95.01723409407747,67.8081530058247,106.68834035331103,112.76004992528838,73.04191608810596,72.52805945043131,105.72050961706786,119.58812645631016,134.54861698052875
