,РФ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ACCESS-CM2,2.5629731461524505,4.18782929195116,3.4373693199626687,3.09047219000764,2.28338003528271,1.8055512490062573,2.5208158612191216,2.426146887928897,3.015691386199324,1.4841589935315314,2.198549505111055,2.751814713550329,2.0687695430442545,2.5654152958190983,2.149760445950793,1.332217438427823
AWI-CM-1-1-MR,1.0674307280386655,0.6103330750421008,0.39594219470300296,0.26815776029619565,1.0488705972090564,3.279664813962346,1.2107511448981392,0.9772401821685094,0.44190650712426127,1.2010115656311702,1.2910945971877914,0.657218744154048,1.3806549614203083,1.5208069104162216,1.0959304268017296,1.0700063321479738
BCC-CSM2-MR,1.7593295908231632,3.961371385001643,2.3215520389654514,1.203957183594046,0.13656148585782657,1.3734263787729597,0.9874012946293682,0.9465831848104644,2.268067666955941,1.3268670679239125,1.7203465209895994,1.834808025944398,1.2051940427371413,0.9614583578786446,2.4116509161598607,1.707633459801399
CanESM5,2.2198362005680066,1.9558362846208457,0.4668793129240774,0.5691941210235578,1.0699477719754473,2.3622691899983517,1.4055368094625313,1.7358973219911065,2.625254788438993,2.301259566507313,1.6613086857636494,2.6743393256643517,2.5380652490938074,2.2008128596679053,2.4212484763356517,3.7873410089510666
CAMS-CSM1-0,2.479919681202012,4.544178129995099,4.163104469515005,3.5387959623357497,2.57145916616602,2.025790314351145,2.4362740980359274,2.3173960180865505,3.056616031180892,1.2111501985129165,1.884580488710117,2.7425610215754768,1.8775489598949833,2.336990974375158,1.5253708472971714,1.0219608948881296
CMCC-ESM2,1.17016668850192,1.1611784104902028,0.3425643252674837,0.24004862548133882,0.8160512457135753,2.0605166997686033,0.6380197842186791,0.4170218343265227,0.46959730361336616,0.6773096723411715,1.5681871635680293,1.3117439928248322,1.3270400281206811,1.1582235232468914,2.0896566804452004,1.166378784328644
CNRM-CM6-1,0.8084199497726577,0.705300864150018,0.3571667109140608,0.31812339795857736,0.2162897471006482,1.203598764163982,0.9101858666409058,1.0356476704410889,0.504668464061861,1.2802046303804593,0.9653635142528678,0.8318294723864186,0.767150835491896,0.8030308530787945,0.9400943361047337,1.2578988583178898
EC-Earth3,2.065381814279262,2.5013479375168095,2.2087118759961823,1.767850292745008,0.4311164496573241,1.4489591487291917,1.1522678545268354,1.4168130628422118,2.28015468025436,1.4739992554061525,2.6782342283234266,2.3718590440192755,1.605453791799637,1.563765403226607,3.7451434000414747,1.9550594584368195
GFDL-ESM4,1.4376659751579508,2.568219833781679,2.79874268119573,2.414335310835735,1.12900409881193,0.9326240829997007,1.272373078159859,1.1889712153689345,1.6060284213625358,0.8723549977076238,1.6043182262245994,1.5336917484819221,1.0906033797132486,0.7204748621407152,1.3867223568735805,1.8140732271456448
INM-CM4-8,1.76482184622609,3.356822020645641,2.965622723347797,1.9563170094849471,0.36117955951529296,1.3550605156113051,1.7815721866811272,2.1059594981001575,2.4285116415366255,1.8068288119053455,1.771953048934791,1.3441035896699958,1.1728659381303532,1.7625568101774083,1.2849182998512423,2.5527908722498873
IPSL-CM6A-LR,1.3984446084077615,1.3669063057987836,1.449026742452723,1.0950324632767667,0.22841158043025878,1.1832672303838594,0.6751254657527082,0.6901245381836647,0.7266348005408297,0.6291404500832501,1.4165059107454716,1.5048973383145403,1.8099254003490988,2.2818817083239704,1.0896904990533531,1.333770313972358
MIROC6,1.6158808085130991,1.5274522510501132,0.7964913987330153,0.5353204850482016,0.7906576287941514,3.4190060781668916,0.9794166712777339,0.8352332900552887,1.9001595263611035,1.102520484926427,1.2555212869526777,1.3090256718105386,1.7107515440728387,2.9650285719427063,1.535267885579686,1.5656415286921497
MPI-ESM1-2-HR,1.1341551256214097,1.74490310706447,2.155444219821801,1.9750576034471599,1.0519974782926287,1.4132924312249586,1.1146575342039995,0.9537468036832992,1.217059199029277,0.7551788335145397,1.1237601693203423,1.0572839003622807,0.966960634275602,0.9467582997438282,0.8548738258082017,0.9124297353441062
MRI-ESM2-0,2.100965798858074,1.140959909211926,0.6841408311274182,0.7502258622265663,0.7320803343509834,1.3965847343566777,1.2606936865890839,1.4127837468952045,1.995756365029293,2.0533742797440917,1.057444887498252,2.668663164439814,3.312046414156067,2.6797407063260197,1.0604340722996737,0.9963740962789234
NorESM2-MM,1.4036717402023096,2.5252043982417267,1.3110587182640543,0.9921646731840578,0.2657110029213635,1.417386381450656,0.8191378935290899,0.6171484517280662,2.2061707351024262,1.028371525191422,0.9819510118036034,1.621847419857075,1.0392161570431748,1.5984781922959932,0.9577807231237107,1.0500962827564906
UKESM1-0-LL,2.2986795492744103,2.254237037689601,1.8096220290053775,1.6851122568048886,1.104542539591074,1.225879628827744,1.9159401845418291,2.0689262827525314,1.8820211035170116,1.8367590099706015,2.2742866988942776,2.5109616642629837,2.638573778749094,2.9536483970442498,2.060689651694592,1.3803757449284857
mean,1.7054839532249528,2.2570050151407384,1.7289649745122404,1.4000103248594025,0.8898287951043932,1.7439298526109144,1.3175105883979334,1.321602499335156,1.7890186637692562,1.3150305839548704,1.5908378715175342,1.7954155523323923,1.6569262911307616,1.8136919828565132,1.663077052713791,1.5565030022917372
